Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0x24c29a858375c3f7012719ce899be0d8857f62200b592a1d201e316e9e917873,Success,0x60808060,20671860,2024/9/3 18:31,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,,,0 ETH,$0.00 ,0.00767906
0xf08672202a25d9157b2695df1f2a3b84d85aa020b74f17321510961e6b3bdb0d,Success,0x46a40b1c,20671864,2024/9/3 18:32,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,0x4476b6ca46b28182944ed750e74e2bb1752f87ae,,0 ETH,$0.00 ,0.00023209
0x7e7f9548f301d3dd863eac94e6190cb742ab6aa9d7730549ff743bf84cbd21d1,Success,0x87a9ec40,20671878,2024/9/3 18:35,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,0x4476b6ca46b28182944ed750e74e2bb1752f87ae,,0 ETH,$0.00 ,0.05109399
0x59a2bc7f899e6e45ceb478b33ae09d6717615c58cc3edd5139d9e3f68c333d1f,Success,0x46a40b1c,20671883,2024/9/3 18:36,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,0x4476b6ca46b28182944ed750e74e2bb1752f87ae,,0 ETH,$0.00 ,0.00064165
0x42b2ec27c732100dd9037c76da415e10329ea41598de453bb0c0c9ea7ce0d8e5,Success,0xe1629e47,20671892,2024/9/3 18:37,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,0x4476b6ca46b28182944ed750e74e2bb1752f87ae,,0 ETH,$0.00 ,0.01022283
0x292f244d607cca21495ba2e08ed7f85aa6a10d86bbf9b887c40301b91eff6a8b,Success,Sweep Token,20671930,2024/9/3 18:45,0x7a2f4d625fb21f5e51562ce8dc2e722e12a61d1b,Penpiexyz Exploiter,0x4476b6ca46b28182944ed750e74e2bb1752f87ae,,0 ETH,$0.00 ,0.00024897
