Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,Success,0x863df8af,16817996,2023/3/13 8:50,0x5f259d0b76665c337c6104145894f4d1d2758b8c,Euler Finance Exploiter 3,0xeBC29199C817Dc47BA12E3F86102564D640CBf99,Euler Exploit Contract 1,0 ETH,$0.00 ,0.1107966
0x725db76cf4bf3bdc72be4f755ed72df4adbc8e4e803c044617cc11e34907ccdc,Success,0x630c8458,16817994,2023/3/13 8:50,0x5f259d0b76665c337c6104145894f4d1d2758b8c,Euler Finance Exploiter 3,Contract Creation,,0 ETH,$0.00 ,0.23761336
0xdae809e4a1ddf77c39d44a4acfe6165bedbc19a385c4b241242cc9bd582a80b9,Success,Withdraw,16818823,2023/3/13 11:38,0x5f259d0b76665c337c6104145894f4d1d2758b8c,Euler Finance Exploiter 3,0xeBC29199C817Dc47BA12E3F86102564D640CBf99,Euler Exploit Contract 1,0 ETH,$0.00 ,0.00181645
0x5059ff85923e5ba0967355b35057a126aab2e558abf1c2d51304f9721e84fd96,Error in Main Txn : execution reverted,Destory,16818591,2023/3/13 10:51,0x5fb303dc8e6c36ad736e8e3cdc0e39f6bec2b790,,0xeBC29199C817Dc47BA12E3F86102564D640CBf99,Euler Exploit Contract 1,0 ETH,$0.00 ,0.00055317
0x5975c3b885fd9f03cac24a10aba1fef0188744233ff413fd51b0a5e70bff55f6,Error in Main Txn : execution reverted,Withdraw,16818579,2023/3/13 10:48,0x5fb303dc8e6c36ad736e8e3cdc0e39f6bec2b790,,0xeBC29199C817Dc47BA12E3F86102564D640CBf99,Euler Exploit Contract 1,0 ETH,$0.00 ,0.00060247
